Super-region,Regions,Countries,,1
High-income,High-income Asia Pacific,Brunei,,2
High-income,High-income Asia Pacific,Japan,,3
High-income,High-income Asia Pacific,Singapore,,4
High-income,High-income Asia Pacific,South Korea,,5
High-income,High-income Australasia,Australia,,6
High-income,High-income Australasia,New Zealand,,7
High-income,High-income North America,Canada,,8
High-income,High-income North America,Greenland,,9
High-income,High-income North America,United States,,10
High-income,High-income Southern Latin America,Argentina,,11
High-income,High-income Southern Latin America,Chile,,12
High-income,High-income Southern Latin America,Uruguay,,
High-income,High-income Western Europe,Andorra,,
High-income,High-income Western Europe,Austria,,
High-income,High-income Western Europe,Belgium,,
High-income,High-income Western Europe,Cyprus,,
High-income,High-income Western Europe,Denmark,,
High-income,High-income Western Europe,Finland,,
High-income,High-income Western Europe,France,,
High-income,High-income Western Europe,Germany,,
High-income,High-income Western Europe,Greece,,
High-income,High-income Western Europe,Iceland,,
High-income,High-income Western Europe,Ireland,,
High-income,High-income Western Europe,Israel,,
High-income,High-income Western Europe,Italy,,
High-income,High-income Western Europe,Luxembourg,,
High-income,High-income Western Europe,Malta,,
High-income,High-income Western Europe,Netherlands,,
High-income,High-income Western Europe,Norway,,
High-income,High-income Western Europe,Portugal,,
High-income,High-income Western Europe,Spain,,
High-income,High-income Western Europe,Sweden,,
High-income,High-income Western Europe,Switzerland,,
High-income,High-income Western Europe,United Kingdom,,
Latin America and Caribbean,Caribbean,Antigua and Barbuda,,
Latin America and Caribbean,Caribbean,Barbados,,
Latin America and Caribbean,Caribbean,Belize,,
Latin America and Caribbean,Caribbean,Bermuda,,
Latin America and Caribbean,Caribbean,Cuba,,
Latin America and Caribbean,Caribbean,Dominica,,
Latin America and Caribbean,Caribbean,Dominican Republic,,
Latin America and Caribbean,Caribbean,Grenada,,
Latin America and Caribbean,Caribbean,Guyana,,
Latin America and Caribbean,Caribbean,Haiti,,
Latin America and Caribbean,Caribbean,Jamaica,,
Latin America and Caribbean,Caribbean,Puerto Rico,,
Latin America and Caribbean,Caribbean,Saint Lucia,,
Latin America and Caribbean,Caribbean,Saint Vincent and the Grenadines,,
Latin America and Caribbean,Caribbean,Suriname,,
Latin America and Caribbean,Caribbean,Bahamas,,
Latin America and Caribbean,Caribbean,Trinidad and Tobago,,
Latin America and Caribbean,Caribbean,U.S. Virgin Islands,,
Latin America and Caribbean,Central Latin America,Colombia,,
Latin America and Caribbean,Central Latin America,Costa Rica,,
Latin America and Caribbean,Central Latin America,El Salvador,,
Latin America and Caribbean,Central Latin America,Guatemala,,
Latin America and Caribbean,Central Latin America,Honduras,,
Latin America and Caribbean,Central Latin America,Mexico,,
Latin America and Caribbean,Central Latin America,Nicaragua,,
Latin America and Caribbean,Central Latin America,Panama,,
Latin America and Caribbean,Central Latin America,Venezuela,,
Latin America and Caribbean,Tropical Latin America,Brazil,,
Latin America and Caribbean,Tropical Latin America,Paraguay,,
Latin America and Caribbean,Andean Latin America,Bolivia,,
Latin America and Caribbean,Andean Latin America,Ecuador,,
Latin America and Caribbean,Andean Latin America,Peru,,
Sub-Saharan Africa,Central sub-Saharan Africa,Angola,,
Sub-Saharan Africa,Central sub-Saharan Africa,Central African Republic,,
Sub-Saharan Africa,Central sub-Saharan Africa,Congo,,
Sub-Saharan Africa,Central sub-Saharan Africa,Democratic Republic of Congo,,
Sub-Saharan Africa,Central sub-Saharan Africa,Equatorial Guinea,,
Sub-Saharan Africa,Central sub-Saharan Africa,Gabon,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Burundi,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Comoros,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Djibouti,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Eritrea,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Ethiopia,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Kenya,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Madagascar,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Malawi,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Mozambique,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Rwanda,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Somalia,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,South Sudan,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Tanzania,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Uganda,,
Sub-Saharan Africa,Eastern sub-Saharan Africa,Zambia,,
Sub-Saharan Africa,Southern sub-Saharan Africa,Botswana,,
Sub-Saharan Africa,Southern sub-Saharan Africa,Lesotho,,
Sub-Saharan Africa,Southern sub-Saharan Africa,Namibia,,
Sub-Saharan Africa,Southern sub-Saharan Africa,South Africa,,
Sub-Saharan Africa,Southern sub-Saharan Africa,Swaziland,,
Sub-Saharan Africa,Southern sub-Saharan Africa,Zimbabwe,,
Sub-Saharan Africa,Western sub-Saharan Africa,Benin,,
Sub-Saharan Africa,Western sub-Saharan Africa,Burkina Faso,,
Sub-Saharan Africa,Western sub-Saharan Africa,Cameroon,,
Sub-Saharan Africa,Western sub-Saharan Africa,Cape Verde,,
Sub-Saharan Africa,Western sub-Saharan Africa,Chad,,
Sub-Saharan Africa,Western sub-Saharan Africa,Cote d'Ivoire,,
Sub-Saharan Africa,Western sub-Saharan Africa,Ghana,,
Sub-Saharan Africa,Western sub-Saharan Africa,Guinea,,
Sub-Saharan Africa,Western sub-Saharan Africa,Guinea-Bissau,,
Sub-Saharan Africa,Western sub-Saharan Africa,Liberia,,
Sub-Saharan Africa,Western sub-Saharan Africa,Mali,,
Sub-Saharan Africa,Western sub-Saharan Africa,Mauritania,,
Sub-Saharan Africa,Western sub-Saharan Africa,Niger,,
Sub-Saharan Africa,Western sub-Saharan Africa,Nigeria,,
Sub-Saharan Africa,Western sub-Saharan Africa,Sao Tome and Principe,,
Sub-Saharan Africa,Western sub-Saharan Africa,Senegal,,
Sub-Saharan Africa,Western sub-Saharan Africa,Sierra Leone,,
Sub-Saharan Africa,Western sub-Saharan Africa,Gambia,,
Sub-Saharan Africa,Western sub-Saharan Africa,Togo,,
North Africa and the Middle East,North Africa and the Middle East,Afghanistan,,
North Africa and the Middle East,North Africa and the Middle East,Algeria,,
North Africa and the Middle East,North Africa and the Middle East,Bahrain,,
North Africa and the Middle East,North Africa and the Middle East,Egypt,,
North Africa and the Middle East,North Africa and the Middle East,Iran,,
North Africa and the Middle East,North Africa and the Middle East,Iraq,,
North Africa and the Middle East,North Africa and the Middle East,Jordan,,
North Africa and the Middle East,North Africa and the Middle East,Kuwait,,
North Africa and the Middle East,North Africa and the Middle East,Lebanon,,
North Africa and the Middle East,North Africa and the Middle East,Libya,,
North Africa and the Middle East,North Africa and the Middle East,Morocco,,
North Africa and the Middle East,North Africa and the Middle East,Oman,,
North Africa and the Middle East,North Africa and the Middle East,Palestine,,
North Africa and the Middle East,North Africa and the Middle East,Qatar,,
North Africa and the Middle East,North Africa and the Middle East,Saudi Arabia,,
North Africa and the Middle East,North Africa and the Middle East,Sudan,,
North Africa and the Middle East,North Africa and the Middle East,Syria,,
North Africa and the Middle East,North Africa and the Middle East,Tunisia,,
North Africa and the Middle East,North Africa and the Middle East,Turkey,,
North Africa and the Middle East,North Africa and the Middle East,United Arab Emirates,,
North Africa and the Middle East,North Africa and the Middle East,Yemen,,
South Asia,South Asia,Bangladesh,,
South Asia,South Asia,Bhutan,,
South Asia,South Asia,India,,
South Asia,South Asia,Nepal,,
South Asia,South Asia,Pakistan,,
"Southeast Asia, East Asia, and Oceania",East Asia,China,,
"Southeast Asia, East Asia, and Oceania",East Asia,North Korea,,
"Southeast Asia, East Asia, and Oceania",East Asia,Taiwan,,
"Southeast Asia, East Asia, and Oceania",Oceania,American Samoa,,
"Southeast Asia, East Asia, and Oceania",Oceania,Micronesia (country),,
"Southeast Asia, East Asia, and Oceania",Oceania,Fiji,,
"Southeast Asia, East Asia, and Oceania",Oceania,Guam,,
"Southeast Asia, East Asia, and Oceania",Oceania,Kiribati,,
"Southeast Asia, East Asia, and Oceania",Oceania,Marshall Islands,,
"Southeast Asia, East Asia, and Oceania",Oceania,Northern Mariana Islands,,
"Southeast Asia, East Asia, and Oceania",Oceania,Papua New Guinea,,
"Southeast Asia, East Asia, and Oceania",Oceania,Samoa,,
"Southeast Asia, East Asia, and Oceania",Oceania,Solomon Islands,,
"Southeast Asia, East Asia, and Oceania",Oceania,Tonga,,
"Southeast Asia, East Asia, and Oceania",Oceania,Vanuatu,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Cambodia,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Indonesia,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Laos,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Malaysia,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Maldives,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Mauritius,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Myanmar,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Philippines,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Seychelles,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Sri Lanka,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Thailand,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Timor,,
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Vietnam,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Armenia,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Azerbaijan,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Georgia,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kazakhstan,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kyrgyzstan,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Mongolia,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Tajikistan,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Turkmenistan,,
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Uzbekistan,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Albania,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bosnia and Herzegovina,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Bulgaria,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Croatia,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Czechia,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Hungary,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,North Macedonia,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Montenegro,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Poland,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Romania,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Serbia,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovakia,,
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovenia,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Belarus,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Estonia,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Latvia,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Lithuania,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Moldova,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Russia,,
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Ukraine,,