"","Location","Period","Date","Week","NO2_Concentration"
"1","Czechia",2019,"2019-12-01","2018-12-01 to 2018-12-07",5.74531295569614e-05
"2","Czechia",2019,"2019-12-08","2018-12-08 to 2018-12-14",5.52166129637044e-05
"3","Czechia",2019,"2019-12-15","2018-12-15 to 2018-12-21",7.98306573415175e-05
"4","Czechia",2019,"2019-12-22","2018-12-22 to 2018-12-28",1.24345233416534e-05
"5","Czechia",2019,"2019-12-29","2018-12-29 to 2019-01-04",2.89552554022521e-05
"6","Czechia",2019,"2020-01-05","2019-01-05 to 2019-01-11",1.90858245332493e-05
"7","Czechia",2019,"2020-01-12","2019-01-12 to 2019-01-18",9.01859457371756e-05
"8","Czechia",2019,"2020-01-19","2019-01-19 to 2019-01-25",4.19331263401546e-05
"9","Czechia",2019,"2020-01-26","2019-01-26 to 2019-02-01",5.65178743272554e-05
"10","Czechia",2019,"2020-02-02","2019-02-02 to 2019-02-08",4.01118995796423e-05
"11","Czechia",2019,"2020-02-09","2019-02-09 to 2019-02-15",4.33145978604443e-05
"12","Czechia",2019,"2020-02-16","2019-02-16 to 2019-02-22",5.87329195695929e-05
"13","Czechia",2019,"2020-02-23","2019-02-23 to 2019-03-01",6.51489463052712e-05
"14","Czechia",2019,"2020-03-02","2019-03-02 to 2019-03-08",4.71703206130769e-05
"15","Czechia",2019,"2020-03-09","2019-03-09 to 2019-03-15",2.19273515540408e-05
"16","Czechia",2019,"2020-03-16","2019-03-16 to 2019-03-22",5.07108452438843e-05
"17","Czechia",2019,"2020-03-23","2019-03-23 to 2019-03-29",3.10060167976189e-05
"18","Czechia",2019,"2020-03-30","2019-03-30 to 2019-04-05",3.26373119605705e-05
"19","Czechia",2019,"2020-04-06","2019-04-06 to 2019-04-12",3.47201385011431e-05
"20","Czechia",2019,"2020-04-13","2019-04-13 to 2019-04-19",4.2334919271525e-05
"21","Czechia",2019,"2020-04-20","2019-04-20 to 2019-04-26",3.19414139084984e-05
"22","Czechia",2019,"2020-04-27","2019-04-27 to 2019-05-03",3.96422947233077e-05
"23","Czechia",2019,"2020-05-04","2019-05-04 to 2019-05-10",2.53068392339628e-05
"24","Czechia",2019,"2020-05-11","2019-05-11 to 2019-05-17",3.07548798446078e-05
"25","Czechia",2019,"2020-05-18","2019-05-18 to 2019-05-24",1.92594270629343e-05
"26","Czechia",2019,"2020-05-25","2019-05-25 to 2019-05-31",2.88917017314816e-05
"27","Czechia",2019,"2020-06-01","2019-06-01 to 2019-06-07",2.29810702876421e-05
"28","Czechia",2019,"2020-06-08","2019-06-08 to 2019-06-14",2.08992787520401e-05
"29","Czechia",2019,"2020-06-15","2019-06-15 to 2019-06-21",2.31099838856608e-05
"30","Czechia",2019,"2020-06-22","2019-06-22 to 2019-06-28",3.24696593452245e-05
"31","Czechia",2019,"2020-06-29","2019-06-29 to 2019-07-05",2.54878796113189e-05
"32","Czechia",2019,"2020-07-06","2019-07-06 to 2019-07-12",1.91032486327458e-05
"33","Czechia",2019,"2020-07-13","2019-07-13 to 2019-07-19",1.99866226466838e-05
"34","Czechia",2019,"2020-07-20","2019-07-20 to 2019-07-26",2.52898953476688e-05
"35","Czechia",2019,"2020-07-27","2019-07-27 to 2019-08-02",2.87987568299286e-05
"36","Czechia",2019,"2020-08-03","2019-08-03 to 2019-08-09",1.99609658011468e-05
"37","Czechia",2019,"2020-08-10","2019-08-10 to 2019-08-16",2.2589614673052e-05
"38","Czechia",2019,"2020-08-17","2019-08-17 to 2019-08-23",2.57008177868556e-05
"39","Czechia",2019,"2020-08-24","2019-08-24 to 2019-08-30",3.0167817385518e-05
"40","Czechia",2019,"2020-08-31","2019-08-31 to 2019-09-06",2.78040351986419e-05
"41","Czechia",2019,"2020-09-07","2019-09-07 to 2019-09-13",3.03332781186327e-05
"42","Czechia",2019,"2020-09-14","2019-09-14 to 2019-09-20",2.83906829281477e-05
"43","Czechia",2019,"2020-09-21","2019-09-21 to 2019-09-27",3.01714535453357e-05
"44","Czechia",2019,"2020-09-28","2019-09-28 to 2019-10-04",2.89791260001948e-05
"45","Czechia",2019,"2020-10-05","2019-10-05 to 2019-10-11",2.672116352187e-05
"46","Czechia",2019,"2020-10-12","2019-10-12 to 2019-10-18",3.50319132849108e-05
"47","Czechia",2019,"2020-10-19","2019-10-19 to 2019-10-25",5.20392131875269e-05
"48","Czechia",2019,"2020-10-26","2019-10-26 to 2019-11-01",4.33758395956829e-05
"49","Czechia",2019,"2020-11-02","2019-11-02 to 2019-11-08",3.12374977511354e-05
"50","Czechia",2019,"2020-11-09","2019-11-09 to 2019-11-15",3.63761864718981e-05
"51","Czechia",2019,"2020-11-16","2019-11-16 to 2019-11-22",3.86372739740182e-05
"52","Czechia",2019,"2020-11-23","2019-11-23 to 2019-11-29",4.64918521174695e-05
"53","Czechia",2019,"2020-11-30","2019-11-30 to 2019-12-06",4.98904664709698e-05
"54","Czechia",2019,"2020-12-07","2019-12-07 to 2019-12-13",4.00596145482268e-05
"55","Czechia",2019,"2020-12-14","2019-12-14 to 2019-12-20",5.86344212933909e-05
"56","Czechia",2019,"2020-12-21","2019-12-21 to 2019-12-27",4.36363334301859e-05
"57","Czechia",2019,"2020-12-28","2019-12-28 to 2020-01-03",5.72219360037707e-05
"58","Czechia",2020,"2019-12-01","2019-12-01 to 2019-12-07",5.19928144058213e-05
"59","Czechia",2020,"2019-12-08","2019-12-08 to 2019-12-14",3.9334157918347e-05
"60","Czechia",2020,"2019-12-15","2019-12-15 to 2019-12-21",5.42187990504317e-05
"61","Czechia",2020,"2019-12-22","2019-12-22 to 2019-12-28",4.34450339525938e-05
"62","Czechia",2020,"2019-12-29","2019-12-29 to 2020-01-04",6.15238968748599e-05
"63","Czechia",2020,"2020-01-05","2020-01-05 to 2020-01-11",5.72328899579588e-05
"64","Czechia",2020,"2020-01-12","2020-01-12 to 2020-01-18",5.95600868109614e-05
"65","Czechia",2020,"2020-01-19","2020-01-19 to 2020-01-25",4.197656744509e-05
"66","Czechia",2020,"2020-01-26","2020-01-26 to 2020-02-01",3.50911432178691e-05
"67","Czechia",2020,"2020-02-02","2020-02-02 to 2020-02-08",2.61165259871632e-05
"68","Czechia",2020,"2020-02-09","2020-02-09 to 2020-02-15",3.18884376611095e-05
"69","Czechia",2020,"2020-02-16","2020-02-16 to 2020-02-22",4.16386101278476e-05
"70","Czechia",2020,"2020-02-23","2020-02-23 to 2020-02-29",3.25268338201568e-05
"71","Czechia",2020,"2020-03-02","2020-03-02 to 2020-03-08",3.92239853681531e-05
"72","Czechia",2020,"2020-03-09","2020-03-09 to 2020-03-15",2.73446094070096e-05
"73","Czechia",2020,"2020-03-16","2020-03-16 to 2020-03-22",3.40389815391973e-05
"74","Czechia",2020,"2020-03-23","2020-03-23 to 2020-03-29",3.18375568895135e-05
"75","Czechia",2020,"2020-03-30","2020-03-30 to 2020-04-05",3.4839231375372e-05
"76","Czechia",2020,"2020-04-06","2020-04-06 to 2020-04-12",3.0808263545623e-05
"77","Czechia",2020,"2020-04-13","2020-04-13 to 2020-04-19",3.52716670022346e-05
"78","Czechia",2020,"2020-04-20","2020-04-20 to 2020-04-26",2.96119069389533e-05
"79","Czechia",2020,"2020-04-27","2020-04-27 to 2020-05-03",2.37805452343309e-05
"80","Czechia",2020,"2020-05-04","2020-05-04 to 2020-05-10",3.19282626151107e-05
"81","Czechia",2020,"2020-05-11","2020-05-11 to 2020-05-17",2.03576255444204e-05
"82","Czechia",2020,"2020-05-18","2020-05-18 to 2020-05-24",2.8619318982237e-05
"83","Czechia",2020,"2020-05-25","2020-05-25 to 2020-05-31",2.32290367421228e-05
"84","Czechia",2020,"2020-06-01","2020-06-01 to 2020-06-07",1.80904298758833e-05
"85","Czechia",2020,"2020-06-08","2020-06-08 to 2020-06-14",2.6238421924063e-05
"86","Czechia",2020,"2020-06-15","2020-06-15 to 2020-06-21",2.61838522419566e-05
"87","Czechia",2020,"2020-06-22","2020-06-22 to 2020-06-28",2.04344851226779e-05
"88","Czechia",2020,"2020-06-29","2020-06-29 to 2020-07-05",2.2564701794181e-05
"89","Czechia",2020,"2020-07-06","2020-07-06 to 2020-07-12",1.61945681611542e-05
"90","Czechia",2020,"2020-07-13","2020-07-13 to 2020-07-19",1.81334289663937e-05
"91","Czechia",2020,"2020-07-20","2020-07-20 to 2020-07-26",2.21072004933376e-05
"92","Czechia",2020,"2020-07-27","2020-07-27 to 2020-08-02",2.47291682171635e-05
"93","Czechia",2020,"2020-08-03","2020-08-03 to 2020-08-09",2.19268458749866e-05
"94","Czechia",2020,"2020-08-10","2020-08-10 to 2020-08-16",2.68050462182146e-05
"95","Czechia",2020,"2020-08-17","2020-08-17 to 2020-08-23",2.37571421166649e-05
"96","Czechia",2020,"2020-08-24","2020-08-24 to 2020-08-30",2.20317506318679e-05
"97","Czechia",2020,"2020-08-31","2020-08-31 to 2020-09-06",1.99057940335479e-05
"98","Czechia",2020,"2020-09-07","2020-09-07 to 2020-09-13",3.41353515977971e-05
"99","Czechia",2020,"2020-09-14","2020-09-14 to 2020-09-20",3.1273844797397e-05
"100","Czechia",2020,"2020-09-21","2020-09-21 to 2020-09-27",3.41080412908923e-05
"101","Czechia",2020,"2020-09-28","2020-09-28 to 2020-10-04",4.01114848500583e-05
"102","Czechia",2020,"2020-10-05","2020-10-05 to 2020-10-11",3.20643084705807e-05
"103","Czechia",2020,"2020-10-12","2020-10-12 to 2020-10-18",6.93353213137016e-05
"104","Czechia",2020,"2020-10-19","2020-10-19 to 2020-10-25",3.41479099006392e-05
"105","Czechia",2020,"2020-10-26","2020-10-26 to 2020-11-01",3.68574510503095e-05
"106","Czechia",2020,"2020-11-02","2020-11-02 to 2020-11-08",3.49357178492937e-05
"107","Czechia",2020,"2020-11-09","2020-11-09 to 2020-11-15",3.72895265172701e-05
"108","Czechia",2020,"2020-11-16","2020-11-16 to 2020-11-22",2.95411991828587e-05
"109","Czechia",2020,"2020-11-23","2020-11-23 to 2020-11-29",4.41463853348978e-05
"110","Czechia",2020,"2020-11-30","2020-11-30 to 2020-12-06",3.83922742912546e-05
"111","Czechia",2020,"2020-12-07","2020-12-07 to 2020-12-13",2.86287377093686e-05
"112","Czechia",2020,"2020-12-14","2020-12-14 to 2020-12-20",7.05364000168629e-05
"113","Czechia",2020,"2020-12-21","2020-12-21 to 2020-12-27",2.8860331440228e-05
"114","Czechia",2020,"2020-12-28","2020-12-28 to 2021-01-03",2.66021997958887e-05
